character_uid	specialty_code	fragment_restore_cost
CHAR-001	NATURE	
CHAR-002	RUINS	
CHAR-003	NATURE	
CHAR-004	SANCTUARY	12
CHAR-005	NATURE	12
CHAR-006	RUINS	12
CHAR-007	SANCTUARY	12
CHAR-008	RUINS	12
CHAR-009	SANCTUARY	18
CHAR-010	SANCTUARY	12
CHAR-011	SANCTUARY	12
CHAR-012	NATURE	18
CHAR-013	NATURE	18
CHAR-014	RUINS	18
CHAR-015	NATURE	12
CHAR-016	NATURE	12
CHAR-017	NATURE	12
CHAR-018	NATURE	12
CHAR-019	SANCTUARY	12
CHAR-020	NATURE	12
CHAR-021	SANCTUARY	12
CHAR-022	SANCTUARY	18
CHAR-023	SANCTUARY	12
CHAR-024	RUINS	12
CHAR-025	SANCTUARY	12
CHAR-026	RUINS	12
CHAR-027	NATURE	12
CHAR-028	SANCTUARY	12
CHAR-029	SANCTUARY	18
CHAR-031	RUINS	12
CHAR-032	SANCTUARY	12
CHAR-033	NATURE	18
CHAR-034	RUINS	12
CHAR-035	RUINS	12
CHAR-036	RUINS	12
CHAR-037	RUINS	12
CHAR-038	SANCTUARY	12
CHAR-039	NATURE	12
CHAR-040	NATURE	12
CHAR-041	NATURE	12
CHAR-042	NATURE	12
CHAR-043	SANCTUARY	12
CHAR-044	NATURE	28
CHAR-045	RUINS	28
CHAR-046	NATURE	36
CHAR-047	RUINS	28
CHAR-048	SANCTUARY	28
CHAR-049	SANCTUARY	36
CHAR-050	NATURE	36
CHAR-051	RUINS	36
CHAR-052	NATURE	48
CHAR-053	NATURE	36
CHAR-054	NATURE	28
CHAR-055	RUINS	28
CHAR-056	RUINS	36
CHAR-057	RUINS	48
CHAR-058	SANCTUARY	
CHAR-059	RUINS	36
CHAR-060	RUINS	48
CHAR-061	SANCTUARY	28
CHAR-062	SANCTUARY	48
CHAR-063	SANCTUARY	36
CHAR-064	RUINS	48
CHAR-065	RUINS	28
CHAR-066	NATURE	28
CHAR-067	NATURE	28
CHAR-068	SANCTUARY	36
CHAR-069	RUINS	36
CHAR-070	NATURE	36
CHAR-071	SANCTUARY	36
CHAR-072	RUINS	28
CHAR-073	RUINS	28
CHAR-074	RUINS	48
CHAR-075	SANCTUARY	48
CHAR-076	SANCTUARY	48
CHAR-077	RUINS	
CHAR-078	SANCTUARY	
CHAR-079	NATURE	
CHAR-080	SANCTUARY	18
